id,age
1,65+
2,65+
3,65+
4,45-64
5,45-64
6,65+
7,65+
8,45-64
9,18-24
10,65+
11,45-64
12,18-24
13,25-44
14,45-64
15,65+
16,45-64
17,65+
18,65+
19,65+
20,18-24
21,25-44
22,18-24
23,25-44
24,65+
25,25-44
26,25-44
27,18-24
28,45-64
29,25-44
30,18-24
31,25-44
32,65+
33,45-64
34,25-44
35,25-44
36,18-24
37,65+
38,45-64
39,25-44
40,18-24
41,45-64
42,45-64
43,25-44
44,25-44
45,25-44
46,18-24
47,25-44
48,45-64
49,25-44
50,45-64
51,25-44
52,18-24
53,65+
54,18-24
55,45-64
56,18-24
57,25-44
58,25-44
59,18-24
60,25-44
61,45-64
62,18-24
63,18-24
64,18-24
65,25-44
66,45-64
67,25-44
68,25-44
69,65+
70,18-24
71,45-64
72,18-24
73,25-44
74,65+
75,45-64
76,65+
77,18-24
78,45-64
79,18-24
80,45-64
81,45-64
82,18-24
83,65+
84,45-64
85,18-24
86,45-64
87,45-64
88,45-64
89,65+
90,45-64
91,65+
92,65+
93,45-64
94,45-64
95,25-44
96,45-64
97,65+
98,25-44
99,25-44
100,45-64
101,18-24
102,25-44
103,25-44
104,45-64
105,45-64
106,18-24
107,18-24
108,18-24
109,18-24
110,65+
111,45-64
112,25-44
113,18-24
114,18-24
115,45-64
116,18-24
117,18-24
118,25-44
119,18-24
120,65+
121,45-64
122,25-44
123,65+
124,65+
125,18-24
126,65+
127,65+
128,25-44
129,45-64
130,65+
131,65+
132,18-24
133,18-24
134,65+
135,65+
136,65+
137,65+
138,45-64
139,25-44
140,65+
141,18-24
142,65+
143,45-64
144,25-44
145,18-24
146,25-44
147,65+
148,65+
149,18-24
150,25-44
151,25-44
152,18-24
153,65+
154,45-64
155,25-44
156,25-44
157,18-24
158,65+
159,25-44
160,45-64
161,45-64
162,65+
163,65+
164,65+
165,65+
166,18-24
167,18-24
168,65+
169,18-24
170,45-64
171,18-24
172,25-44
173,45-64
174,65+
175,45-64
176,25-44
177,65+
178,65+
179,18-24
180,25-44
181,18-24
182,65+
183,18-24
184,45-64
185,65+
186,45-64
187,25-44
188,65+
189,18-24
190,45-64
191,18-24
192,45-64
193,25-44
194,25-44
195,18-24
196,18-24
197,45-64
198,45-64
199,45-64
200,65+
201,18-24
202,25-44
203,45-64
204,65+
205,45-64
206,65+
207,18-24
208,18-24
209,18-24
210,25-44
211,25-44
212,25-44
213,18-24
214,65+
215,45-64
216,45-64
217,25-44
218,45-64
219,18-24
220,25-44
221,65+
222,18-24
223,45-64
224,25-44
225,65+
226,45-64
227,18-24
228,65+
229,65+
230,45-64
231,18-24
232,65+
233,25-44
234,25-44
235,25-44
236,65+
237,65+
238,45-64
239,65+
240,25-44
241,18-24
242,25-44
243,65+
244,25-44
245,65+
246,25-44
247,25-44
248,45-64
249,45-64
250,65+
251,18-24
252,18-24
253,65+
254,25-44
255,18-24
256,18-24
257,25-44
258,45-64
259,45-64
260,45-64
261,65+
262,45-64
263,25-44
264,45-64
265,25-44
266,65+
267,45-64
268,65+
269,25-44
270,45-64
271,45-64
272,25-44
273,65+
274,18-24
275,18-24
276,18-24
277,18-24
278,25-44
279,25-44
280,45-64
281,65+
282,65+
283,18-24
284,45-64
285,18-24
286,18-24
287,45-64
288,65+
289,18-24
290,25-44
291,25-44
292,25-44
293,45-64
294,45-64
295,25-44
296,65+
297,65+
298,18-24
299,65+
300,25-44
301,65+
302,18-24
303,65+
304,25-44
305,65+
306,25-44
307,65+
308,65+
309,18-24
310,25-44
311,45-64
312,25-44
313,18-24
314,18-24
315,45-64
316,25-44
317,45-64
318,18-24
319,45-64
320,45-64
321,18-24
322,65+
323,65+
324,18-24
325,65+
326,25-44
327,18-24
328,65+
329,18-24
330,25-44
331,25-44
332,45-64
333,25-44
334,65+
335,45-64
336,18-24
337,45-64
338,18-24
339,18-24
340,45-64
341,25-44
342,65+
343,45-64
344,18-24
345,25-44
346,18-24
347,65+
348,25-44
349,18-24
350,65+
351,18-24
352,25-44
353,45-64
354,18-24
355,45-64
356,65+
357,65+
358,65+
359,45-64
360,18-24
361,65+
362,65+
363,65+
364,45-64
365,18-24
366,18-24
367,45-64
368,45-64
369,45-64
370,18-24
371,45-64
372,25-44
373,65+
374,65+
375,18-24
376,25-44
377,65+
378,65+
379,25-44
380,65+
381,18-24
382,65+
383,25-44
384,45-64
385,18-24
386,45-64
387,25-44
388,45-64
389,18-24
390,18-24
391,45-64
392,25-44
393,45-64
394,65+
395,65+
396,45-64
397,45-64
398,18-24
399,25-44
400,65+
401,45-64
402,25-44
403,18-24
404,25-44
405,45-64
406,18-24
407,25-44
408,18-24
409,45-64
410,25-44
411,18-24
412,25-44
413,25-44
414,65+
415,25-44
416,45-64
417,65+
418,25-44
419,18-24
420,45-64
421,18-24
422,18-24
423,18-24
424,65+
425,45-64
426,18-24
427,65+
428,25-44
429,18-24
430,65+
431,18-24
432,25-44
433,25-44
434,25-44
435,18-24
436,25-44
437,45-64
438,65+
439,65+
440,65+
441,45-64
442,25-44
443,45-64
444,45-64
445,25-44
446,45-64
447,45-64
448,65+
449,25-44
450,45-64
451,45-64
