RespondentID,Feedback
1,Super smooth taste. imo it's one of the better brands.
2,Taste is kinda weak. Please introduce more roast options.
3,Expected better. I drink it every morning.
4,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 😅"
5,Worth every penny. ngl I expected more. 😕
6,Super smooth taste. Not bad at all tbh.
7,Not bad.
8,Taste is nice but it's a bit pricey. ngl I expected more. ❤️
9,Amazing aroma. imo it's one of the better brands.
10,Not as fresh as expected. Not bad at all tbh. 👎
11,Meh.
12,Taste is nice but it's a bit pricey. Would love a decaf version.
13,Worth every penny 😅
14,Bit disappointed. I drink it every morning.
15,The beans smell fantastic. ☕
16,Packaging could be better. Customer service was great too.
17,My morning feels incomplete without it. imo it's one of the better brands.
18,Packaging could be better. Please introduce more roast options. 😕
19,The beans smell fantastic. Would love a decaf version.
20,My morning feels incomplete without it. Please introduce more roast options. 😅
21,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️
22,Not as fresh as expected 😕
23,Didn't enjoy the aftertaste. I drink it every morning.
24,Yumm 😋 😋
25,Yumm 😋 😅
26,Super smooth taste. I drink it every morning. 😕
27,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️
28,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋"
29,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍
30,Coffee arrived stale.
31,cofee arrived stale. ngl I expected more.
32,Works gr8 with milk but black coffee isn't my favourite.
33,Works great with milk but black coffe isn't my favourite. Would recommend it to friends.
34,Best coffee I've had in a while. I drink it every morning. 👍
35,Not as fresh as expected
36,Not as fesh as expected. Would love a decaf version. 🤔
37,Taste is nice but it's a bit pricey. ☕
38,Amazing aroma.
39,Very balanced flavour. Hope you keep the quality consistent.
40,Taste is nice but it's a bit pricey. Would recommend it to friends.
41,Pretty good overall although I expected a stronger roast.
42,Packaging looks premium but freshness could improve.
43,Didn't enjoy the aftertaste. ngl I expected more.
44,Could be better. 👌
45,Love this cofee 👍
46,The beans smell fantastic. ngl I expected more.
47,Expected better. ngl I expected more.
48,Works gr8 with milk but black cofee isn't my favourite. Delivery was really fast.
49,Super smooth taste. Customer service was great too.
50,"Love the aroma, not a fan of the aftertaste. 😍"
51,Best coffee I've had in a while
52,10/10 ❤️ 👍
53,My morning feels incomplete without it 😋
54,Packaging could be better. ❤️
55,Bit disappointed. Would love a decaf version.
56,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔
57,Very balanced flavour. ngl I expected more. 😍
58,Way too expensive.
59,Really enjoying Coffee X
