RespondentID,Feedback,Sentiment,clean_feedback
1,Super smooth taste. imo it's one of the better brands.,Positive,super smooth taste opinion its one of the better brands
2,Taste is kinda weak. Please introduce more roast options.,Neutral,taste is kinda weak please introduce more roast options
3,Expected better. I drink it every morning.,Neutral,expected better i drink it every morning
4,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 😅",Neutral,love the aroma not a fan of the aftertaste honestly i expected more
5,Worth every penny. ngl I expected more. 😕,Neutral,worth every penny honestly i expected more
6,Super smooth taste. Not bad at all tbh.,Positive,super smooth taste not bad at all honestly
7,Not bad.,Neutral,not bad
8,Taste is nice but it's a bit pricey. ngl I expected more. ❤️,Neutral,taste is nice but its a bit pricey honestly i expected more
9,Amazing aroma. imo it's one of the better brands.,Positive,amazing aroma opinion its one of the better brands
10,Not as fresh as expected. Not bad at all tbh. 👎,Neutral,not as fresh as expected not bad at all honestly
11,Meh.,Negative,meh
12,Taste is nice but it's a bit pricey. Would love a decaf version.,Neutral,taste is nice but its a bit pricey would love a decaf version
13,Worth every penny 😅,Positive,worth every penny
14,Bit disappointed. I drink it every morning.,Neutral,bit disappointed i drink it every morning
15,The beans smell fantastic. ☕,Positive,the beans smell fantastic
16,Packaging could be better. Customer service was great too.,Neutral,packaging could be better customer service was great too
17,My morning feels incomplete without it. imo it's one of the better brands.,Positive,my morning feels incomplete without it opinion its one of the better brands
18,Packaging could be better. Please introduce more roast options. 😕,Neutral,packaging could be better please introduce more roast options
19,The beans smell fantastic. Would love a decaf version.,Positive,the beans smell fantastic would love a decaf version
20,My morning feels incomplete without it. Please introduce more roast options. 😅,Positive,my morning feels incomplete without it please introduce more roast options
21,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️,Neutral,pretty good overall although i expected a stronger roast honestly i expected more
22,Not as fresh as expected 😕,Negative,not as fresh as expected
23,Didn't enjoy the aftertaste. I drink it every morning.,Neutral,didnt enjoy the aftertaste i drink it every morning
24,Yumm 😋 😋,Positive,yumm
25,Yumm 😋 😅,Positive,yumm
26,Super smooth taste. I drink it every morning. 😕,Positive,super smooth taste i drink it every morning
27,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️,Neutral,works great with milk but black coffee isnt my favourite opinion its one of the better brands
28,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋",Neutral,love the aroma not a fan of the aftertaste would love a decaf version
29,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍,Neutral,packaging looks premium but freshness could improve please introduce more roast options
30,Coffee arrived stale.,Negative,coffee arrived stale
31,cofee arrived stale. ngl I expected more.,Negative,cofee arrived stale honestly i expected more
32,Works gr8 with milk but black coffee isn't my favourite.,Neutral,works gr with milk but black coffee isnt my favourite
33,Works great with milk but black coffe isn't my favourite. Would recommend it to friends.,Neutral,works great with milk but black coffe isnt my favourite would recommend it to friends
34,Best coffee I've had in a while. I drink it every morning. 👍,Positive,best coffee ive had in a while i drink it every morning
35,Not as fresh as expected,Negative,not as fresh as expected
36,Not as fesh as expected. Would love a decaf version. 🤔,Negative,not as fesh as expected would love a decaf version
37,Taste is nice but it's a bit pricey. ☕,Neutral,taste is nice but its a bit pricey
38,Amazing aroma.,Positive,amazing aroma
39,Very balanced flavour. Hope you keep the quality consistent.,Positive,very balanced flavour hope you keep the quality consistent
40,Taste is nice but it's a bit pricey. Would recommend it to friends.,Neutral,taste is nice but its a bit pricey would recommend it to friends
41,Pretty good overall although I expected a stronger roast.,Neutral,pretty good overall although i expected a stronger roast
