id,age
1,25-44
2,45-64
3,25-44
4,18-24
5,25-44
6,45-64
7,45-64
8,45-64
9,45-64
10,18-24
11,25-44
12,65+
13,25-44
14,45-64
15,65+
16,65+
17,18-24
18,25-44
19,65+
20,65+
21,25-44
22,25-44
23,25-44
24,25-44
25,18-24
26,25-44
27,45-64
28,65+
29,25-44
30,25-44
31,45-64
32,25-44
33,45-64
34,25-44
35,18-24
36,45-64
37,45-64
38,18-24
39,25-44
40,25-44
41,45-64
42,18-24
43,45-64
44,18-24
45,45-64
46,45-64
47,18-24
48,65+
49,65+
50,65+
51,25-44
52,18-24
53,45-64
54,18-24
55,18-24
56,45-64
57,25-44
58,25-44
59,45-64
60,18-24
61,45-64
62,45-64
63,25-44
64,18-24
65,45-64
66,25-44
67,25-44
68,18-24
69,45-64
70,18-24
71,45-64
72,25-44
73,25-44
74,45-64
75,25-44
76,18-24
77,18-24
78,25-44
79,45-64
80,18-24
81,65+
82,45-64
83,65+
84,25-44
85,45-64
86,25-44
87,25-44
88,65+
89,18-24
90,18-24
91,18-24
92,18-24
93,18-24
94,18-24
95,18-24
96,25-44
97,18-24
98,18-24
99,25-44
100,45-64
101,25-44
102,65+
103,18-24
104,18-24
105,45-64
106,25-44
107,45-64
108,25-44
109,25-44
110,45-64
111,25-44
112,25-44
113,65+
114,45-64
115,65+
116,25-44
117,45-64
118,25-44
119,45-64
120,18-24
121,18-24
122,18-24
123,25-44
124,25-44
125,18-24
126,18-24
127,18-24
128,25-44
129,45-64
130,25-44
131,18-24
132,45-64
133,65+
134,25-44
135,45-64
136,18-24
137,45-64
138,65+
139,25-44
140,25-44
141,25-44
142,18-24
143,18-24
144,45-64
145,65+
146,18-24
147,18-24
148,18-24
149,25-44
150,25-44
151,18-24
152,18-24
153,65+
154,25-44
155,45-64
156,25-44
157,45-64
158,18-24
159,45-64
160,18-24
161,25-44
162,25-44
163,45-64
164,45-64
165,65+
166,18-24
167,65+
168,25-44
169,45-64
170,45-64
171,18-24
172,25-44
173,45-64
174,18-24
175,45-64
176,18-24
177,45-64
178,45-64
179,65+
180,45-64
181,25-44
182,18-24
183,25-44
184,25-44
185,25-44
186,25-44
187,25-44
188,65+
189,45-64
190,45-64
191,25-44
192,25-44
193,18-24
194,45-64
195,65+
196,18-24
197,25-44
198,18-24
199,45-64
200,45-64
201,45-64
202,18-24
203,25-44
204,18-24
205,25-44
206,25-44
207,25-44
208,65+
209,25-44
210,18-24
211,45-64
212,25-44
213,65+
214,25-44
215,45-64
216,45-64
217,25-44
218,18-24
219,25-44
220,45-64
221,25-44
222,65+
223,45-64
224,18-24
225,25-44
226,18-24
227,65+
228,25-44
229,25-44
230,45-64
231,25-44
232,18-24
233,65+
234,45-64
235,18-24
236,65+
237,18-24
238,25-44
239,25-44
240,25-44
241,25-44
242,25-44
243,25-44
244,45-64
245,45-64
246,25-44
247,45-64
248,25-44
249,25-44
250,65+
251,65+
252,45-64
253,25-44
254,25-44
255,25-44
256,65+
257,25-44
258,45-64
259,18-24
260,18-24
261,25-44
262,65+
263,18-24
264,45-64
265,18-24
266,45-64
267,25-44
268,18-24
269,45-64
270,18-24
271,25-44
272,25-44
273,45-64
274,65+
275,45-64
276,25-44
277,25-44
278,45-64
279,45-64
280,45-64
281,45-64
282,65+
283,65+
284,45-64
285,45-64
286,25-44
287,45-64
288,45-64
289,25-44
290,45-64
291,45-64
292,65+
293,45-64
294,65+
295,45-64
296,45-64
297,25-44
298,45-64
299,45-64
300,25-44
301,25-44
302,25-44
303,45-64
304,25-44
305,25-44
306,45-64
307,25-44
308,45-64
309,18-24
310,25-44
311,18-24
312,18-24
313,18-24
314,25-44
315,18-24
316,25-44
317,45-64
318,25-44
319,45-64
320,25-44
321,45-64
322,25-44
323,18-24
324,18-24
325,18-24
326,45-64
327,65+
328,25-44
329,45-64
330,45-64
331,18-24
332,65+
333,65+
334,18-24
335,25-44
