RespondentID,Feedback,clean_feedback
1,Taste is nice but it's a bit pricey. Hope you keep the quality consistent.,taste is nice but its a bit pricey hope you keep the quality consistent
2,My morning feels incomplete without it. Customer service was gr8 too. 👍,my morning feels incomplete without it customer service was gr too
3,Love this coffee. Not bad at all tbh. 👎,love this coffee not bad at all honestly
4,Expected better 👍,expected better
5,Worth every penny. 😕,worth every penny
6,Taste is nice but it's a bit pricey. Delivery was really fast. ☕,taste is nice but its a bit pricey delivery was really fast
7,Coffee arrived stale. Customer service was great too.,coffee arrived stale customer service was great too
8,Packaging could be better. Please introduce more roast options. 🤔,packaging could be better please introduce more roast options
9,Coffee arrived stale. Please introduce more roast options. 👎,coffee arrived stale please introduce more roast options
10,Coffee arrived stale. imo it's one of the better brands. 👌,coffee arrived stale opinion its one of the better brands
11,Coffee arrived stale. Customer service was gr8 too.,coffee arrived stale customer service was gr too
12,Wouldn't buy again. 😕,wouldnt buy again
13,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. 😋,works great with milk but black coffee isnt my favourite opinion its one of the better brands
14,Way too expensive. imo it's one of the better brands. 😋,way too expensive opinion its one of the better brands
15,Meh. 🤔,meh
16,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️,works great with milk but black coffee isnt my favourite opinion its one of the better brands
17,"Love the aroma, not a fan of the aftertaste. 😍",love the aroma not a fan of the aftertaste
18,Bit disappointed. Would recommend it to friends. 🤔,bit disappointed would recommend it to friends
19,Too bitter for me. ngl I expected more.,too bitter for me honestly i expected more
20,Expected better. Hope you keep the qualty consistent.,expected better hope you keep the qualty consistent
21,Best coffee I've had in a while. 🤔,best coffee ive had in a while
22,Really enjoying Coffee X. Hope you keep the qualty consistent.,really enjoying coffee x hope you keep the qualty consistent
23,Bit disappointed. Please introduce more roast options. 😋,bit disappointed please introduce more roast options
24,Bit disappointed. Delivery was really fast.,bit disappointed delivery was really fast
25,Could be better. ☕,could be better
26,Way too expensive. Customer service was great too.,way too expensive customer service was great too
27,Very balanced flavour 👍,very balanced flavour
28,Works great with milk but black coffee isn't my favourite. 🤔,works great with milk but black coffee isnt my favourite
29,Coffee arrived stale. imo it's one of the better brands. ☕,coffee arrived stale opinion its one of the better brands
30,The beans smell fantastic. Please introduce more roast options.,the beans smell fantastic please introduce more roast options
31,Works great with milk but black coffee isn't my favourite. Hope you keep the quality consistent.,works great with milk but black coffee isnt my favourite hope you keep the quality consistent
32,It's okay. 🤔,its okay
33,Meh. 👎,meh
34,I'll definitely buy again 😕,ill definitely buy again
35,Taste is kinda weak. Delivery was really fast.,taste is kinda weak delivery was really fast
36,rly enjoying Coffee X. Delivery was really fast. 👌,rly enjoying coffee x delivery was really fast
37,Packaging looks premium but freshness could improve. Would love a decaf version. 😕,packaging looks premium but freshness could improve would love a decaf version
38,Didn't enjoy the aftertaste. I drink it every morning. 😍,didnt enjoy the aftertaste i drink it every morning
39,Best coffee I've had in a while 😅,best coffee ive had in a while
40,Pretty good overall although I expected a stronger roast. 😕,pretty good overall although i expected a stronger roast
41,The beans smell fantastic. ngl I expected more. 👎,the beans smell fantastic honestly i expected more
42,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😕,works great with milk but black coffee isnt my favourite not bad at all honestly
43,Coffee arrived stale. Please introduce more roast options.,coffee arrived stale please introduce more roast options
44,coffe arrived stale. 😅,coffe arrived stale
