id,gender,age,brand,feedback
1,gender,age,brand,feedback
2,female,65+,A,Taste is nice but it's a bit pricey. Hope you keep the quality consistent.
3,female,65+,B,My morning feels incomplete without it. Customer service was gr8 too. 👍
4,female,65+,A,Love this coffee. Not bad at all tbh. 👎
5,male,45-64,A,Expected better 👍
6,female,45-64,A,Worth every penny. 😕
7,female,65+,B,Taste is nice but it's a bit pricey. Delivery was really fast. ☕
8,female,65+,B,Coffee arrived stale. Customer service was great too.
9,female,45-64,A,Packaging could be better. Please introduce more roast options. 🤔
10,male,18-24,B,Coffee arrived stale. Please introduce more roast options. 👎
11,male,65+,B,Coffee arrived stale. imo it's one of the better brands. 👌
12,female,45-64,B,Coffee arrived stale. Customer service was gr8 too.
13,female,18-24,A,Wouldn't buy again. 😕
14,male,25-44,A,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. 😋
15,female,45-64,A,Way too expensive. imo it's one of the better brands. 😋
16,female,65+,A,Meh. 🤔
17,male,45-64,A,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️
18,male,65+,A,"Love the aroma, not a fan of the aftertaste. 😍"
19,female,65+,A,Bit disappointed. Would recommend it to friends. 🤔
20,male,65+,A,Too bitter for me. ngl I expected more.
21,male,18-24,B,Expected better. Hope you keep the qualty consistent.
22,male,25-44,B,Best coffee I've had in a while. 🤔
23,female,18-24,B,Really enjoying Coffee X. Hope you keep the qualty consistent.
24,female,25-44,B,Bit disappointed. Please introduce more roast options. 😋
25,female,65+,A,Bit disappointed. Delivery was really fast.
26,female,25-44,B,Could be better. ☕
27,male,25-44,B,Way too expensive. Customer service was great too.
28,female,18-24,B,Very balanced flavour 👍
29,male,45-64,A,Works great with milk but black coffee isn't my favourite. 🤔
30,female,25-44,B,Coffee arrived stale. imo it's one of the better brands. ☕
31,male,18-24,A,The beans smell fantastic. Please introduce more roast options.
32,male,25-44,A,Works great with milk but black coffee isn't my favourite. Hope you keep the quality consistent.
33,female,65+,A,It's okay. 🤔
34,male,45-64,B,Meh. 👎
