id,gender,age,brand,feedback
1,female,65+,A,Taste is nice but it's a bit pricey. Hope you keep the quality consistent.
2,female,65+,B,My morning feels incomplete without it. Customer service was gr8 too. 👍
3,female,65+,A,Love this coffee. Not bad at all tbh. 👎
4,male,45-64,A,Expected better 👍
5,female,45-64,A,Worth every penny. 😕
6,female,65+,B,Taste is nice but it's a bit pricey. Delivery was really fast. ☕
7,female,65+,B,Coffee arrived stale. Customer service was great too.
8,female,45-64,A,Packaging could be better. Please introduce more roast options. 🤔
9,male,18-24,B,Coffee arrived stale. Please introduce more roast options. 👎
10,male,65+,B,Coffee arrived stale. imo it's one of the better brands. 👌
11,female,45-64,B,Coffee arrived stale. Customer service was gr8 too.
12,female,18-24,A,Wouldn't buy again. 😕
13,male,25-44,A,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. 😋
14,female,45-64,A,Way too expensive. imo it's one of the better brands. 😋
15,female,65+,A,Meh. 🤔
16,male,45-64,A,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️
17,male,65+,A,"Love the aroma, not a fan of the aftertaste. 😍"
18,female,65+,A,Bit disappointed. Would recommend it to friends. 🤔
19,male,65+,A,Too bitter for me. ngl I expected more.
20,male,18-24,B,Expected better. Hope you keep the qualty consistent.
21,male,25-44,B,Best coffee I've had in a while. 🤔
22,female,18-24,B,Really enjoying Coffee X. Hope you keep the qualty consistent.
23,female,25-44,B,Bit disappointed. Please introduce more roast options. 😋
24,female,65+,A,Bit disappointed. Delivery was really fast.
25,female,25-44,B,Could be better. ☕
26,male,25-44,B,Way too expensive. Customer service was great too.
27,female,18-24,B,Very balanced flavour 👍
28,male,45-64,A,Works great with milk but black coffee isn't my favourite. 🤔
29,female,25-44,B,Coffee arrived stale. imo it's one of the better brands. ☕
30,male,18-24,A,The beans smell fantastic. Please introduce more roast options.
31,male,25-44,A,Works great with milk but black coffee isn't my favourite. Hope you keep the quality consistent.
32,female,65+,A,It's okay. 🤔
33,male,45-64,B,Meh. 👎
34,female,25-44,A,I'll definitely buy again 😕
35,female,25-44,B,Taste is kinda weak. Delivery was really fast.
36,male,18-24,B,rly enjoying Coffee X. Delivery was really fast. 👌
37,female,65+,A,Packaging looks premium but freshness could improve. Would love a decaf version. 😕
38,female,45-64,A,Didn't enjoy the aftertaste. I drink it every morning. 😍
39,female,25-44,B,Best coffee I've had in a while 😅
40,male,18-24,B,Pretty good overall although I expected a stronger roast. 😕
41,male,45-64,B,The beans smell fantastic. ngl I expected more. 👎
42,male,45-64,A,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😕
43,male,25-44,A,Coffee arrived stale. Please introduce more roast options.
44,female,25-44,B,coffe arrived stale. 😅
45,female,25-44,B,Works great with milk but black coffe isn't my favourite. Delivery was really fast.
46,female,18-24,A,Worth every penny. Hope you keep the quality consistent. 😅
47,female,25-44,A,I'll definitely buy again. Customer service was great too.
48,female,45-64,A,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent."
49,female,25-44,B,Too bitter for me. Hope you keep the qualty consistent.
50,female,45-64,B,Coffee arrived stale. ngl I expected more.
51,male,25-44,A,Not as fresh as expected. I drink it every morning. ❤️
52,female,18-24,B,Love it ☕ 👎
53,female,65+,B,Really enjoying Coffee X. I drink it every morning. 👍
54,female,18-24,B,Way too expensive. imo it's one of the better brands.
55,female,45-64,B,Bit disappointed. Would recommend it to friends. ❤️
56,male,18-24,A,Love this coffee. imo it's one of the better brands. ❤️
57,female,25-44,A,The beans smell fantastic. I drink it every morning.
58,female,25-44,A,Didn't enjoy the aftertaste. Hope you keep the qualty consistent.
59,male,18-24,B,Best coffee I've had in a while ❤️
60,female,25-44,A,Bit disappointed. ngl I expected more. ❤️
61,female,45-64,B,Not as fresh as expected. Please introduce more roast options. 👍
62,male,18-24,A,Really enjoying Coffee X. I drink it every morning.
63,female,18-24,A,The beans smell fantastic. Would recommend it to friends. 😕
64,male,18-24,A,Taste is nice but it's a bit pricey. Would recommend it to friends. ❤️
65,female,25-44,B,Packaging looks premium but freshness could improve. 😋
66,male,45-64,B,Didn't enjoy the aftertaste. Delivery was really fast. ❤️
67,female,25-44,B,My morning feels incomplete without it. ngl I expected more. 😋
68,female,25-44,B,Wouldn't buy again. ngl I expected more.
69,male,65+,B,Expected better. Hope you keep the quality consistent.
70,female,18-24,A,Very balanced flavour. ngl I expected more. ☕
71,female,45-64,A,Not as fresh as expected. Delivery was really fast. ❤️
72,female,18-24,B,Works gr8 with milk but black cofee isn't my favourite. Hope you keep the quality consistent.
73,male,25-44,A,Amazing aroma. 👌
74,male,65+,A,My morning feels incomplete without it. Not bad at all tbh. 👍
75,male,45-64,B,Very balanced flavour. Customer service was gr8 too.
76,female,65+,A,realy enjoying Coffee X. Not bad at all tbh.
77,male,18-24,A,The beans smell fantastic. Would love a decaf version. 👍
78,female,45-64,B,Love it ☕ 🤔
79,female,18-24,B,Amazing 😍 😍
80,female,45-64,B,Really enjoying Coffee X. Hope you keep the quality consistent. 😅
81,female,45-64,B,Works great with milk but black cofee isn't my favourite.
82,male,18-24,B,Too bitter for me 😅
83,female,65+,A,Amazing 😍 😊
84,female,45-64,B,Coffee arrived stale 😋
85,male,18-24,A,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍"
86,male,45-64,A,I'll definitely buy again. imo it's one of the better brands. 🤔
87,female,45-64,A,Pretty good overall although I expected a stronger roast. 😍
88,male,45-64,B,Taste is nice but it's a bit pricey. Customer service was great too. 👍
89,male,65+,A,Very balanced flavour 🤔
90,female,45-64,B,Bit disappointed. I drink it every morning. 🤔
91,female,65+,A,Too expensive 😕 😍
92,female,65+,B,I'll definitely buy again. I drink it every morning. 🤔
93,female,45-64,A,coffe arrived stale. imo it's one of the better brands.
94,female,45-64,B,It's okay. 😅
95,female,25-44,A,Pretty good overall although I expected a stronger roast. Delivery was really fast.
96,female,45-64,A,Amazing aroma. Would recommend it to friends. ❤️
97,male,65+,A,Way too expensive. ngl I expected more.
98,female,25-44,A,Works gr8 with milk but black coffee isn't my favourite. ❤️
99,male,25-44,A,Best coffee I've had in a while. ngl I expected more. 😍
100,male,45-64,B,Not bad. ☕
101,female,18-24,A,Packaging looks premium but freshness could improve. 😅
102,female,25-44,A,Wouldn't buy again. Please introduce more roast options.
103,female,25-44,B,I'll definitely buy again. Not bad at all tbh. 🤔
104,female,45-64,B,Love this coffee. imo it's one of the better brands. 😊
105,female,45-64,B,"Love the aroma, not a fan of the aftertaste. Would recommend it to friends."
106,female,18-24,B,I'll definitely buy again. ❤️
107,female,18-24,A,Way too expensive. Hope you keep the quality consistent. 😋
108,female,18-24,A,Amazing aroma. 👎
109,female,18-24,B,Really enjoying Coffee X. imo it's one of the better brands. 👎
110,female,65+,A,Not as fresh as expected. Hope you keep the quality consistent.
111,male,45-64,A,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning. ☕
112,female,25-44,B,My morning feels incomplete without it 😋
113,male,18-24,B,Love this coffee. I drink it every morning. ❤️
114,female,18-24,B,Pretty good! 🤔
115,male,45-64,B,Very balanced flavour. Would recommend it to friends. 😋
116,male,18-24,A,Taste is kinda weak. Would love a decaf version. 👌
117,male,18-24,B,I'll definitely buy again. Not bad at all tbh. 😅
118,female,25-44,A,Very balanced flavour. Please introduce more roast options.
119,male,18-24,A,Didn't enjoy the aftertaste 😅
