RespondentID,Feedback,Sentiment
1,Super smooth taste. imo it's one of the better brands.,Positive
2,Taste is kinda weak. Please introduce more roast options.,Neutral
3,Expected better. I drink it every morning.,Neutral
4,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 😅",Neutral
5,Worth every penny. ngl I expected more. 😕,Neutral
6,Super smooth taste. Not bad at all tbh.,Positive
7,Not bad.,Neutral
8,Taste is nice but it's a bit pricey. ngl I expected more. ❤️,Neutral
9,Amazing aroma. imo it's one of the better brands.,Positive
10,Not as fresh as expected. Not bad at all tbh. 👎,Neutral
11,Meh.,Negative
12,Taste is nice but it's a bit pricey. Would love a decaf version.,Neutral
13,Worth every penny 😅,Positive
14,Bit disappointed. I drink it every morning.,Neutral
15,The beans smell fantastic. ☕,Positive
16,Packaging could be better. Customer service was great too.,Neutral
17,My morning feels incomplete without it. imo it's one of the better brands.,Positive
18,Packaging could be better. Please introduce more roast options. 😕,Neutral
19,The beans smell fantastic. Would love a decaf version.,Positive
20,My morning feels incomplete without it. Please introduce more roast options. 😅,Positive
21,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️,Neutral
22,Not as fresh as expected 😕,Negative
23,Didn't enjoy the aftertaste. I drink it every morning.,Neutral
24,Yumm 😋 😋,Positive
25,Yumm 😋 😅,Positive
26,Super smooth taste. I drink it every morning. 😕,Positive
27,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️,Neutral
28,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋",Neutral
29,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍,Neutral
30,Coffee arrived stale.,Negative
31,cofee arrived stale. ngl I expected more.,Negative
32,Works gr8 with milk but black coffee isn't my favourite.,Neutral
33,Works great with milk but black coffe isn't my favourite. Would recommend it to friends.,Neutral
34,Best coffee I've had in a while. I drink it every morning. 👍,Positive
35,Not as fresh as expected,Negative
36,Not as fesh as expected. Would love a decaf version. 🤔,Negative
37,Taste is nice but it's a bit pricey. ☕,Neutral
38,Amazing aroma.,Positive
39,Very balanced flavour. Hope you keep the quality consistent.,Positive
40,Taste is nice but it's a bit pricey. Would recommend it to friends.,Neutral
41,Pretty good overall although I expected a stronger roast.,Neutral
42,Packaging looks premium but freshness could improve.,Neutral
43,Didn't enjoy the aftertaste. ngl I expected more.,Negative
44,Could be better. 👌,Negative
45,Love this cofee 👍,Positive
46,The beans smell fantastic. ngl I expected more.,Neutral
47,Expected better. ngl I expected more.,Negative
48,Works gr8 with milk but black cofee isn't my favourite. Delivery was really fast.,Neutral
49,Super smooth taste. Customer service was great too.,Positive
