id,age
1,65+
2,18-24
3,45-64
4,25-44
5,45-64
6,18-24
7,65+
8,45-64
9,25-44
10,65+
11,45-64
12,45-64
13,25-44
14,45-64
15,45-64
16,45-64
17,25-44
18,45-64
19,18-24
20,65+
21,45-64
22,45-64
23,45-64
24,25-44
25,18-24
26,25-44
27,65+
28,18-24
29,18-24
30,25-44
31,25-44
32,65+
33,18-24
34,18-24
35,45-64
36,25-44
37,25-44
38,25-44
39,45-64
40,65+
41,18-24
42,45-64
43,65+
44,18-24
45,45-64
46,25-44
47,18-24
48,25-44
49,65+
50,25-44
51,65+
52,45-64
53,25-44
54,45-64
55,25-44
56,45-64
57,25-44
58,45-64
59,25-44
60,25-44
61,45-64
62,25-44
63,25-44
64,45-64
65,25-44
66,65+
67,18-24
68,45-64
69,45-64
70,25-44
71,18-24
72,45-64
73,45-64
74,45-64
75,45-64
76,25-44
77,45-64
78,65+
79,65+
80,45-64
81,25-44
82,18-24
83,45-64
84,45-64
85,25-44
86,45-64
87,18-24
88,65+
89,65+
90,45-64
91,18-24
92,25-44
93,18-24
94,45-64
95,18-24
96,65+
97,65+
98,25-44
99,45-64
100,45-64
101,65+
102,18-24
103,65+
104,45-64
105,45-64
106,18-24
107,45-64
108,45-64
109,45-64
110,25-44
111,25-44
112,45-64
113,25-44
114,25-44
115,25-44
116,25-44
117,25-44
118,45-64
119,65+
120,25-44
121,18-24
122,18-24
123,25-44
124,45-64
125,65+
126,25-44
127,18-24
128,65+
129,65+
130,18-24
131,65+
132,25-44
133,18-24
134,45-64
135,18-24
136,25-44
137,65+
138,45-64
139,65+
140,45-64
141,18-24
142,65+
143,45-64
144,18-24
145,45-64
146,25-44
147,18-24
148,45-64
149,45-64
150,18-24
151,45-64
152,45-64
153,18-24
154,45-64
155,45-64
156,25-44
157,25-44
158,65+
159,25-44
160,65+
161,25-44
162,45-64
163,25-44
164,25-44
165,45-64
166,45-64
167,65+
168,18-24
169,45-64
170,18-24
171,25-44
172,65+
173,25-44
174,45-64
175,25-44
176,25-44
177,65+
178,18-24
179,25-44
180,25-44
181,25-44
182,45-64
183,45-64
184,25-44
185,25-44
186,65+
187,18-24
188,25-44
189,65+
190,65+
191,25-44
192,45-64
193,65+
194,25-44
195,25-44
196,45-64
197,25-44
198,45-64
199,25-44
200,45-64
201,25-44
202,25-44
203,65+
204,18-24
205,45-64
206,25-44
207,45-64
208,65+
209,25-44
210,25-44
211,45-64
212,18-24
213,25-44
214,18-24
215,45-64
216,45-64
217,25-44
218,18-24
219,18-24
220,18-24
221,45-64
222,25-44
223,25-44
224,45-64
225,25-44
226,18-24
227,25-44
228,25-44
229,45-64
230,25-44
231,65+
232,25-44
233,25-44
234,45-64
235,45-64
236,18-24
237,25-44
238,45-64
239,18-24
240,65+
241,45-64
242,25-44
243,18-24
244,45-64
245,18-24
246,25-44
247,25-44
248,25-44
249,45-64
250,18-24
