RespondentID,Feedback,Sentiment,clean_feedback,tokens,filtered_tokens,lemmatized_tokens,processed_text
1,Super smooth taste. imo it's one of the better brands.,Positive,super smooth taste opinion its one of the better brands,"['super', 'smooth', 'taste', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['super', 'smooth', 'taste', 'opinion', 'one', 'better', 'brands']","['super', 'smooth', 'taste', 'opinion', 'one', 'better', 'brand']",super smooth taste opinion one better brand
2,Taste is kinda weak. Please introduce more roast options.,Neutral,taste is kinda weak please introduce more roast options,"['taste', 'is', 'kinda', 'weak', 'please', 'introduce', 'more', 'roast', 'options']","['taste', 'kinda', 'weak', 'please', 'introduce', 'roast', 'options']","['taste', 'kinda', 'weak', 'please', 'introduce', 'roast', 'option']",taste kinda weak please introduce roast option
3,Expected better. I drink it every morning.,Neutral,expected better i drink it every morning,"['expected', 'better', 'i', 'drink', 'it', 'every', 'morning']","['expected', 'better', 'drink', 'every', 'morning']","['expected', 'better', 'drink', 'every', 'morning']",expected better drink every morning
4,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 😅",Neutral,love the aroma not a fan of the aftertaste honestly i expected more,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'honestly', 'i', 'expected', 'more']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'honestly', 'expected']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'honestly', 'expected']",love aroma not fan aftertaste honestly expected
5,Worth every penny. ngl I expected more. 😕,Neutral,worth every penny honestly i expected more,"['worth', 'every', 'penny', 'honestly', 'i', 'expected', 'more']","['worth', 'every', 'penny', 'honestly', 'expected']","['worth', 'every', 'penny', 'honestly', 'expected']",worth every penny honestly expected
6,Super smooth taste. Not bad at all tbh.,Positive,super smooth taste not bad at all honestly,"['super', 'smooth', 'taste', 'not', 'bad', 'at', 'all', 'honestly']","['super', 'smooth', 'taste', 'not', 'bad', 'honestly']","['super', 'smooth', 'taste', 'not', 'bad', 'honestly']",super smooth taste not bad honestly
7,Not bad.,Neutral,not bad,"['not', 'bad']","['not', 'bad']","['not', 'bad']",not bad
8,Taste is nice but it's a bit pricey. ngl I expected more. ❤️,Neutral,taste is nice but its a bit pricey honestly i expected more,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'honestly', 'i', 'expected', 'more']","['taste', 'nice', 'bit', 'pricey', 'honestly', 'expected']","['taste', 'nice', 'bit', 'pricey', 'honestly', 'expected']",taste nice bit pricey honestly expected
9,Amazing aroma. imo it's one of the better brands.,Positive,amazing aroma opinion its one of the better brands,"['amazing', 'aroma', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['amazing', 'aroma', 'opinion', 'one', 'better', 'brands']","['amazing', 'aroma', 'opinion', 'one', 'better', 'brand']",amazing aroma opinion one better brand
10,Not as fresh as expected. Not bad at all tbh. 👎,Neutral,not as fresh as expected not bad at all honestly,"['not', 'as', 'fresh', 'as', 'expected', 'not', 'bad', 'at', 'all', 'honestly']","['not', 'fresh', 'expected', 'not', 'bad', 'honestly']","['not', 'fresh', 'expected', 'not', 'bad', 'honestly']",not fresh expected not bad honestly
11,Meh.,Negative,meh,['meh'],['meh'],['meh'],meh
