id,gender,id,age,id,brand,RespondentID,Feedback
1,female,1,65+,1,A,1,Taste is nice but it's a bit pricey. Hope you keep the quality consistent.
2,female,2,65+,2,B,2,My morning feels incomplete without it. Customer service was gr8 too. 👍
3,female,3,65+,3,A,3,Love this coffee. Not bad at all tbh. 👎
4,male,4,45-64,4,A,4,Expected better 👍
5,female,5,45-64,5,A,5,Worth every penny. 😕
6,female,6,65+,6,B,6,Taste is nice but it's a bit pricey. Delivery was really fast. ☕
7,female,7,65+,7,B,7,Coffee arrived stale. Customer service was great too.
8,female,8,45-64,8,A,8,Packaging could be better. Please introduce more roast options. 🤔
9,male,9,18-24,9,B,9,Coffee arrived stale. Please introduce more roast options. 👎
10,male,10,65+,10,B,10,Coffee arrived stale. imo it's one of the better brands. 👌
11,female,11,45-64,11,B,11,Coffee arrived stale. Customer service was gr8 too.
12,female,12,18-24,12,A,12,Wouldn't buy again. 😕
13,male,13,25-44,13,A,13,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. 😋
14,female,14,45-64,14,A,14,Way too expensive. imo it's one of the better brands. 😋
15,female,15,65+,15,A,15,Meh. 🤔
16,male,16,45-64,16,A,16,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️
17,male,17,65+,17,A,17,"Love the aroma, not a fan of the aftertaste. 😍"
18,female,18,65+,18,A,18,Bit disappointed. Would recommend it to friends. 🤔
19,male,19,65+,19,A,19,Too bitter for me. ngl I expected more.
20,male,20,18-24,20,B,20,Expected better. Hope you keep the qualty consistent.
21,male,21,25-44,21,B,21,Best coffee I've had in a while. 🤔
22,female,22,18-24,22,B,22,Really enjoying Coffee X. Hope you keep the qualty consistent.
23,female,23,25-44,23,B,23,Bit disappointed. Please introduce more roast options. 😋
24,female,24,65+,24,A,24,Bit disappointed. Delivery was really fast.
25,female,25,25-44,25,B,25,Could be better. ☕
26,male,26,25-44,26,B,26,Way too expensive. Customer service was great too.
27,female,27,18-24,27,B,27,Very balanced flavour 👍
28,male,28,45-64,28,A,28,Works great with milk but black coffee isn't my favourite. 🤔
29,female,29,25-44,29,B,29,Coffee arrived stale. imo it's one of the better brands. ☕
30,male,30,18-24,30,A,30,The beans smell fantastic. Please introduce more roast options.
31,male,31,25-44,31,A,31,Works great with milk but black coffee isn't my favourite. Hope you keep the quality consistent.
32,female,32,65+,32,A,32,It's okay. 🤔
33,male,33,45-64,33,B,33,Meh. 👎
34,female,34,25-44,34,A,34,I'll definitely buy again 😕
35,female,35,25-44,35,B,35,Taste is kinda weak. Delivery was really fast.
36,male,36,18-24,36,B,36,rly enjoying Coffee X. Delivery was really fast. 👌
37,female,37,65+,37,A,37,Packaging looks premium but freshness could improve. Would love a decaf version. 😕
38,female,38,45-64,38,A,38,Didn't enjoy the aftertaste. I drink it every morning. 😍
39,female,39,25-44,39,B,39,Best coffee I've had in a while 😅
40,male,40,18-24,40,B,40,Pretty good overall although I expected a stronger roast. 😕
41,male,41,45-64,41,B,41,The beans smell fantastic. ngl I expected more. 👎
42,male,42,45-64,42,A,42,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😕
43,male,43,25-44,43,A,43,Coffee arrived stale. Please introduce more roast options.
44,female,44,25-44,44,B,44,coffe arrived stale. 😅
45,female,45,25-44,45,B,45,Works great with milk but black coffe isn't my favourite. Delivery was really fast.
46,female,46,18-24,46,A,46,Worth every penny. Hope you keep the quality consistent. 😅
47,female,47,25-44,47,A,47,I'll definitely buy again. Customer service was great too.
48,female,48,45-64,48,A,48,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent."
49,female,49,25-44,49,B,49,Too bitter for me. Hope you keep the qualty consistent.
50,female,50,45-64,50,B,50,Coffee arrived stale. ngl I expected more.
51,male,51,25-44,51,A,51,Not as fresh as expected. I drink it every morning. ❤️
52,female,52,18-24,52,B,52,Love it ☕ 👎
53,female,53,65+,53,B,53,Really enjoying Coffee X. I drink it every morning. 👍
54,female,54,18-24,54,B,54,Way too expensive. imo it's one of the better brands.
55,female,55,45-64,55,B,55,Bit disappointed. Would recommend it to friends. ❤️
56,male,56,18-24,56,A,56,Love this coffee. imo it's one of the better brands. ❤️
57,female,57,25-44,57,A,57,The beans smell fantastic. I drink it every morning.
58,female,58,25-44,58,A,58,Didn't enjoy the aftertaste. Hope you keep the qualty consistent.
59,male,59,18-24,59,B,59,Best coffee I've had in a while ❤️
60,female,60,25-44,60,A,60,Bit disappointed. ngl I expected more. ❤️
61,female,61,45-64,61,B,61,Not as fresh as expected. Please introduce more roast options. 👍
62,male,62,18-24,62,A,62,Really enjoying Coffee X. I drink it every morning.
63,female,63,18-24,63,A,63,The beans smell fantastic. Would recommend it to friends. 😕
64,male,64,18-24,64,A,64,Taste is nice but it's a bit pricey. Would recommend it to friends. ❤️
65,female,65,25-44,65,B,65,Packaging looks premium but freshness could improve. 😋
66,male,66,45-64,66,B,66,Didn't enjoy the aftertaste. Delivery was really fast. ❤️
67,female,67,25-44,67,B,67,My morning feels incomplete without it. ngl I expected more. 😋
68,female,68,25-44,68,B,68,Wouldn't buy again. ngl I expected more.
69,male,69,65+,69,B,69,Expected better. Hope you keep the quality consistent.
70,female,70,18-24,70,A,70,Very balanced flavour. ngl I expected more. ☕
71,female,71,45-64,71,A,71,Not as fresh as expected. Delivery was really fast. ❤️
72,female,72,18-24,72,B,72,Works gr8 with milk but black cofee isn't my favourite. Hope you keep the quality consistent.
73,male,73,25-44,73,A,73,Amazing aroma. 👌
74,male,74,65+,74,A,74,My morning feels incomplete without it. Not bad at all tbh. 👍
75,male,75,45-64,75,B,75,Very balanced flavour. Customer service was gr8 too.
76,female,76,65+,76,A,76,realy enjoying Coffee X. Not bad at all tbh.
77,male,77,18-24,77,A,77,The beans smell fantastic. Would love a decaf version. 👍
78,female,78,45-64,78,B,78,Love it ☕ 🤔
79,female,79,18-24,79,B,79,Amazing 😍 😍
80,female,80,45-64,80,B,80,Really enjoying Coffee X. Hope you keep the quality consistent. 😅
81,female,81,45-64,81,B,81,Works great with milk but black cofee isn't my favourite.
82,male,82,18-24,82,B,82,Too bitter for me 😅
83,female,83,65+,83,A,83,Amazing 😍 😊
84,female,84,45-64,84,B,84,Coffee arrived stale 😋
85,male,85,18-24,85,A,85,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍"
86,male,86,45-64,86,A,86,I'll definitely buy again. imo it's one of the better brands. 🤔
87,female,87,45-64,87,A,87,Pretty good overall although I expected a stronger roast. 😍
88,male,88,45-64,88,B,88,Taste is nice but it's a bit pricey. Customer service was great too. 👍
89,male,89,65+,89,A,89,Very balanced flavour 🤔
90,female,90,45-64,90,B,90,Bit disappointed. I drink it every morning. 🤔
91,female,91,65+,91,A,91,Too expensive 😕 😍
92,female,92,65+,92,B,92,I'll definitely buy again. I drink it every morning. 🤔
93,female,93,45-64,93,A,93,coffe arrived stale. imo it's one of the better brands.
94,female,94,45-64,94,B,94,It's okay. 😅
95,female,95,25-44,95,A,95,Pretty good overall although I expected a stronger roast. Delivery was really fast.
96,female,96,45-64,96,A,96,Amazing aroma. Would recommend it to friends. ❤️
97,male,97,65+,97,A,97,Way too expensive. ngl I expected more.
98,female,98,25-44,98,A,98,Works gr8 with milk but black coffee isn't my favourite. ❤️
99,male,99,25-44,99,A,99,Best coffee I've had in a while. ngl I expected more. 😍
100,male,100,45-64,100,B,100,Not bad. ☕
101,female,101,18-24,101,A,101,Packaging looks premium but freshness could improve. 😅
102,female,102,25-44,102,A,102,Wouldn't buy again. Please introduce more roast options.
103,female,103,25-44,103,B,103,I'll definitely buy again. Not bad at all tbh. 🤔
104,female,104,45-64,104,B,104,Love this coffee. imo it's one of the better brands. 😊
105,female,105,45-64,105,B,105,"Love the aroma, not a fan of the aftertaste. Would recommend it to friends."
106,female,106,18-24,106,B,106,I'll definitely buy again. ❤️
107,female,107,18-24,107,A,107,Way too expensive. Hope you keep the quality consistent. 😋
108,female,108,18-24,108,A,108,Amazing aroma. 👎
109,female,109,18-24,109,B,109,Really enjoying Coffee X. imo it's one of the better brands. 👎
110,female,110,65+,110,A,110,Not as fresh as expected. Hope you keep the quality consistent.
111,male,111,45-64,111,A,111,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning. ☕
112,female,112,25-44,112,B,112,My morning feels incomplete without it 😋
113,male,113,18-24,113,B,113,Love this coffee. I drink it every morning. ❤️
114,female,114,18-24,114,B,114,Pretty good! 🤔
115,male,115,45-64,115,B,115,Very balanced flavour. Would recommend it to friends. 😋
116,male,116,18-24,116,A,116,Taste is kinda weak. Would love a decaf version. 👌
117,male,117,18-24,117,B,117,I'll definitely buy again. Not bad at all tbh. 😅
118,female,118,25-44,118,A,118,Very balanced flavour. Please introduce more roast options.
119,male,119,18-24,119,A,119,Didn't enjoy the aftertaste 😅
120,female,120,65+,120,B,120,Amazing 😍 ❤️
121,male,121,45-64,121,B,121,Taste is nice but it's a bit pricey. 👌
122,female,122,25-44,122,A,122,Amazing aroma 🤔
123,female,123,65+,123,A,123,Amazing 😍 😕
124,female,124,65+,124,B,124,Expected better. 🤔
125,male,125,18-24,125,B,125,The beans smell fantastic. Would reccomend it to friends. ☕
126,female,126,65+,126,B,126,Works gr8 with milk but black coffee isn't my favourite. 👍
127,male,127,65+,127,B,127,Taste is kinda weak. Customer service was great too. 🤔
128,female,128,25-44,128,A,128,Taste is nice but it's a bit pricey. 👍
129,female,129,45-64,129,A,129,Really enjoying Coffee X. Not bad at all tbh. 😅
130,female,130,65+,130,B,130,Didn't enjoy the aftertaste. Customer service was great too.
131,female,131,65+,131,A,131,Taste is nice but it's a bit pricey. Would recommend it to friends. 😍
132,male,132,18-24,132,B,132,Bit disappointed. Hope you keep the quality consistent. 👍
133,female,133,18-24,133,B,133,Expected better. Customer service was great too. 😅
134,male,134,65+,134,A,134,Best cofee I've had in a while 😕
135,male,135,65+,135,A,135,Packaging looks premium but freshness could improve. Would love a decaf version. 👌
136,female,136,65+,136,B,136,Didn't enjoy the aftertaste. Please introduce more roast options. 😋
137,female,137,65+,137,B,137,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😅"
138,female,138,45-64,138,A,138,Not as fesh as expected. Not bad at all tbh. ❤️
139,male,139,25-44,139,B,139,realy enjoying Coffee X. Please introduce more roast options.
140,female,140,65+,140,B,140,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋"
141,female,141,18-24,141,B,141,I'll definitely buy again 😅
142,male,142,65+,142,B,142,Really enjoying coffe X. Would recommend it to friends.
143,male,143,45-64,143,A,143,Expected better. ❤️
144,female,144,25-44,144,A,144,Best coffee I've had in a while. Customer service was great too.
145,female,145,18-24,145,A,145,Very balanced flavour 😋
146,female,146,25-44,146,A,146,I'll definitely buy again ❤️
147,female,147,65+,147,B,147,Too bitter for me. Not bad at all tbh. 😕
148,female,148,65+,148,A,148,Really enjoying Coffee X. Delivery was really fast. 😍
149,male,149,18-24,149,B,149,Coffee arrived stale. I drink it every morning.
150,male,150,25-44,150,B,150,Best cofee I've had in a while. Delivery was really fast. 👍
151,female,151,25-44,151,A,151,Worth every penny. ngl I expected more. 😕
152,female,152,18-24,152,B,152,Bit disappointed. Would recommend it to friends. 👎
153,male,153,65+,153,B,153,Love this cofee Please introduce more roast options.
154,female,154,45-64,154,A,154,Love this coffee 😊
155,male,155,25-44,155,A,155,Best cofee I've had in a while. Customer service was gr8 too.
156,male,156,25-44,156,B,156,Packaging could be better. Hope you keep the qualty consistent. 😊
157,male,157,18-24,157,B,157,Wouldn't buy again. ngl I expected more. ☕
158,male,158,65+,158,B,158,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.
159,female,159,25-44,159,B,159,Taste is nice but it's a bit pricey. Would love a decaf version. ☕
160,male,160,45-64,160,B,160,Pretty good overall although I expected a stronger roast. Would recommend it to friends. 🤔
161,female,161,45-64,161,A,161,Too expensive 😕 👍
162,male,162,65+,162,B,162,Taste is kinda weak 👍
163,female,163,65+,163,A,163,Taste is nice but it's a bit pricey. 👎
164,male,164,65+,164,A,164,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 😅
165,male,165,65+,165,B,165,Too expensive 😕 😊
166,female,166,18-24,166,A,166,I'll definitely buy again. Not bad at all tbh.
167,female,167,18-24,167,A,167,Too bitter for me. ngl I expected more. 😅
168,male,168,65+,168,A,168,Coffee arrived stale. Would love a decaf version. 😊
169,female,169,18-24,169,B,169,Worth every penny. I drink it every morning.
170,female,170,45-64,170,B,170,Really enjoying coffe X
171,female,171,18-24,171,A,171,Expected better. imo it's one of the better brands. 😋
172,female,172,25-44,172,A,172,Packaging looks premium but freshness could improve. imo it's one of the better brands.
173,male,173,45-64,173,A,173,Amazing 😍 🤔
174,female,174,65+,174,B,174,The beans smell fantastic. 😕
175,male,175,45-64,175,A,175,The beans smell fantastic. ngl I expected more. 😋
176,female,176,25-44,176,A,176,Best coffee I've had in a while. Customer service was great too. 👎
177,male,177,65+,177,A,177,Not as fresh as expected. 😅
178,male,178,65+,178,A,178,Amazing aroma. Hope you keep the quality consistent. ❤️
179,male,179,18-24,179,B,179,Really enjoying Coffee X. ngl I expected more. 👌
180,male,180,25-44,180,B,180,Worth every penny. I drink it every morning. ☕
181,male,181,18-24,181,A,181,Packaging could be better. Delivery was rly fast.
182,male,182,65+,182,B,182,Really enjoying Coffee X. Not bad at all tbh. 😕
183,female,183,18-24,183,A,183,Bit disappointed. Please introduce more roast options. 👌
184,male,184,45-64,184,B,184,Expected better. Not bad at all tbh. ❤️
185,male,185,65+,185,B,185,Works great with milk but black coffee isn't my favourite. Would recommend it to friends.
186,female,186,45-64,186,A,186,Best coffee I've had in a while. Please introduce more roast options.
187,female,187,25-44,187,A,187,Expected better. Please introduce more roast options. 😍
188,male,188,65+,188,A,188,Wouldn't buy again. Would love a decaf version.
