id,brand
1,B
2,B
3,A
4,A
5,A
6,A
7,B
8,A
9,A
10,A
11,A
12,A
13,A
14,A
15,A
16,A
17,B
18,A
19,B
20,A
21,A
22,B
23,A
24,B
25,A
26,A
27,A
28,A
29,A
30,B
31,A
32,B
33,B
34,A
35,B
36,B
37,B
38,A
39,B
40,B
41,A
42,B
43,A
44,B
45,B
46,B
47,A
48,B
49,A
50,A
51,B
52,B
53,B
54,A
55,B
56,B
57,A
58,A
59,B
60,B
61,B
62,A
63,B
64,B
65,B
66,B
67,B
68,B
69,A
70,B
71,B
72,B
73,A
74,B
75,A
76,B
77,A
78,A
79,A
80,B
81,B
82,A
83,B
84,A
85,A
86,A
87,B
88,B
89,A
90,A
91,A
92,B
93,B
94,A
95,A
96,A
97,B
98,B
99,A
100,B
101,B
102,A
103,B
104,B
105,B
106,A
107,A
108,B
109,A
110,A
111,A
112,B
113,A
114,B
115,A
116,A
117,B
118,B
119,B
120,B
121,B
122,A
123,B
124,B
125,B
126,A
127,A
128,A
129,B
130,A
131,A
132,B
133,A
134,A
135,B
136,B
137,A
138,B
139,B
140,B
141,B
142,B
143,B
144,A
145,A
146,B
147,A
148,B
149,A
150,A
151,B
152,A
153,B
154,A
155,B
156,B
157,B
158,B
159,B
160,A
161,A
162,A
163,A
164,B
165,B
166,B
167,B
168,A
169,A
170,B
171,B
172,B
173,B
174,A
175,B
176,A
177,A
178,A
179,B
180,B
181,B
182,A
183,A
184,A
185,A
186,B
187,B
188,B
189,A
190,A
191,B
192,B
193,A
194,A
195,B
196,B
197,A
198,A
199,B
200,A
201,B
202,A
203,A
204,B
205,A
206,A
207,B
208,A
209,A
210,A
211,A
212,A
213,B
214,A
215,B
216,A
217,B
218,A
219,B
220,A
221,A
222,A
223,B
224,B
225,A
226,B
227,A
228,A
229,A
230,A
231,A
232,B
233,B
234,A
235,A
236,B
237,A
238,A
239,A
240,A
241,B
242,B
243,B
244,B
245,A
246,B
247,A
248,A
249,B
250,A
